DATE,PRCP,TAVG,TMAX,TMIN
3/1/18,0.81,39,46,34
3/2/18,0,38,48,30
3/3/18,0,38,43,33
3/4/18,0,38,46,32
3/5/18,0.11,37,40,33
3/6/18,0.07,35,41,31
3/7/18,0,31,34,25
3/8/18,0,28,34,24
3/9/18,0,30,41,23
3/10/18,0,33,41,23
3/11/18,0,34,40,28
3/12/18,0,37,46,30
3/13/18,0.22,32,35,19
3/14/18,0,30,48,22
3/15/18,0,40,50,28
3/16/18,0,32,38,29
3/17/18,0,37,46,30
3/18/18,0,40,57,27
3/19/18,0,41,46,33
3/20/18,0,33,37,29
3/21/18,0,33,40,25
3/22/18,0,34,50,22
3/23/18,0,36,43,25
3/24/18,0,36,40,32
3/25/18,0,34,41,27
3/26/18,0.23,39,53,31
3/27/18,0.15,49,51,39
3/28/18,0.01,45,54,39
3/29/18,0.05,45,50,35
3/30/18,0,39,49,33
3/31/18,0.09,44,58,32
4/1/18,0,32,35,24
4/2/18,0,32,44,21
4/3/18,0.2,39,40,34
4/4/18,0.01,32,35,26
4/5/18,0.07,32,42,23
4/6/18,0,35,38,25
4/7/18,0,28,39,20
4/8/18,0.01,31,39,21
4/9/18,0.13,33,39,30
4/10/18,0,36,46,28
4/11/18,0.05,48,66,39
4/12/18,0.03,56,73,42
4/13/18,0.07,43,47,39
4/14/18,0.96,39,39,36
4/15/18,0.74,35,37,28
4/16/18,0.01,31,35,27
4/17/18,0,35,43,29
4/18/18,0.41,35,37,30
4/19/18,0.01,39,55,31
4/20/18,0,47,61,31
4/21/18,0,47,55,39
4/22/18,0,50,62,42
4/23/18,0,51,63,43
4/24/18,0,55,65,48
4/25/18,0,49,53,38
4/26/18,0,48,66,36
4/27/18,0.02,53,58,39
4/28/18,0,42,50,33
4/29/18,0,43,59,31
4/30/18,0,56,80,40
5/1/18,0,72,86,60
5/2/18,1.32,77,86,63
5/3/18,0.57,64,70,54
5/4/18,0,65,74,61
5/5/18,0,70,82,57
5/6/18,0,62,68,50
5/7/18,0,59,75,46
5/8/18,0,69,81,57
5/9/18,0.25,70,81,57
5/10/18,0,66,73,50
5/11/18,0.04,52,52,45
5/12/18,0.33,46,50,44
5/13/18,0.91,52,67,45
5/14/18,1.54,62,83,53
5/15/18,0,64,71,51
5/16/18,0,62,79,47
5/17/18,0,63,69,52
5/18/18,0.1,57,65,52
5/19/18,0.02,60,69,54
5/20/18,0.27,51,55,44
5/21/18,1.96,53,64,49
5/22/18,0,59,67,54
5/23/18,0,64,80,52
5/24/18,0,71,87,58
5/25/18,0,78,89,67
5/26/18,0,79,90,70
5/27/18,0,83,97,70
5/28/18,0,83,95,70
5/29/18,0,77,87,66
5/30/18,0.9,75,86,67
5/31/18,0,77,89,69
6/1/18,0,71,76,53
6/2/18,0.31,60,70,52
6/3/18,0,67,78,60
6/4/18,0,67,80,55
6/5/18,0.01,67,72,54
6/6/18,0.1,61,79,48
6/7/18,0,71,81,60
6/8/18,0,64,73,59
6/9/18,1.31,66,82,57
6/10/18,1.34,65,71,60
6/11/18,0.1,64,70,61
6/12/18,0,69,80,62
6/13/18,0,75,81,64
6/14/18,0,73,81,64
6/15/18,0,74,89,64
6/16/18,0.65,81,92,69
6/17/18,0,86,93,78
6/18/18,0.36,87,95,66
6/19/18,0.02,71,81,63
6/20/18,0,69,77,65
6/21/18,1.41,66,67,62
6/22/18,1.23,62,64,59
6/23/18,0,68,81,62
6/24/18,0,73,80,64
6/25/18,0,69,78,61
6/26/18,0.76,73,84,66
6/27/18,0.03,73,80,69
6/28/18,0,76,88,68
6/29/18,0,82,96,73
6/30/18,0,87,94,80
7/1/18,0.24,85,94,76
7/2/18,0,77,85,69
7/3/18,0,78,89,63
7/4/18,0.01,83,93,76
7/5/18,0.02,81,92,74
7/6/18,0,74,75,64
7/7/18,0,71,82,59
7/8/18,0,75,88,63
7/9/18,0,79,91,67
7/10/18,0,82,87,71
7/11/18,0,77,87,67
7/12/18,0,79,87,70
7/13/18,0,82,95,72
7/14/18,0.26,78,82,72
7/15/18,0,80,91,72
7/16/18,0.08,82,93,72
7/17/18,0,77,81,68
7/18/18,0,72,80,63
7/19/18,0.03,76,87,67
7/20/18,0.15,76,78,70
7/21/18,0.12,71,79,69
7/22/18,0.13,71,76,67
7/23/18,0,72,82,65
7/24/18,0,75,88,66
7/25/18,0,79,90,67
7/26/18,0.03,77,81,66
7/27/18,0,70,79,62
7/28/18,0,71,82,61
7/29/18,0.07,72,83,62
7/30/18,0,72,82,62
7/31/18,0,73,80,66
8/1/18,0,73,85,63
8/2/18,0,77,85,70
8/3/18,0,77,89,67
8/4/18,0,82,97,71
8/5/18,0,85,94,75
8/6/18,0.34,78,81,69
8/7/18,2.36,75,83,69
8/8/18,0,74,85,69
8/9/18,0.43,78,89,69
8/10/18,0,76,83,70
8/11/18,0,77,88,68
8/12/18,0,79,87,70
8/13/18,0,77,89,66
8/14/18,0,79,87,71
8/15/18,0.01,80,85,73
8/16/18,0.5,77,86,69
8/17/18,0.11,75,85,68
8/18/18,0,75,80,70
8/19/18,0,76,86,68
8/20/18,0.82,75,79,69
8/21/18,0.13,72,78,66
8/22/18,0,69,79,58
8/23/18,0,70,80,60
8/24/18,0.04,68,72,63
8/25/18,0.06,71,86,66
8/26/18,0,81,93,72
8/27/18,0,85,93,78
