,num,lat,lon,Tmax,Tmin,prec,TH0,TL1,sqrt_dw,sqrt_p
1,9,41.947044495,-87.673061053,90.0,56.0,0.74,78.0,68.0,0.1291369397810233,0.027095658294971705
2,8,41.916134719,-87.801092809,90.0,56.0,0.74,78.0,68.0,0.13634802916183988,0.06328288475578461
3,3,41.947044495,-87.673061053,90.0,56.0,0.74,78.0,68.0,0.1291369397810233,0.027095658294971705
5,24,41.907284873,-87.701394637,90.0,56.0,0.74,78.0,68.0,0.011399562918056237,0.0
6,39,41.659236018,-87.612015128,90.0,56.0,0.74,78.0,68.0,0.08003388922692806,0.014381213166522097
7,39,41.956298856,-87.797517445,90.0,56.0,0.74,78.0,68.0,0.0906973936468076,0.10511499496778832
8,22,41.659236018,-87.612015128,90.0,56.0,0.74,78.0,68.0,0.08003388922692806,0.014381213166522097
9,11,41.73318788,-87.55562869,90.0,56.0,0.74,78.0,68.0,0.11392112323955408,0.0
10,24,41.987244608000005,-87.68941677,90.0,56.0,0.74,78.0,68.0,0.019956890581410404,0.006715006199679729
11,14,41.922736649,-87.63244996700001,90.0,56.0,0.74,78.0,68.0,0.030345566749604654,0.0
12,9,41.705327644,-87.632955365,90.0,56.0,0.74,78.0,68.0,0.14217400706326813,0.009569513509900485
13,1,41.773085400999996,-87.600167559,90.0,56.0,0.74,78.0,68.0,0.030236675229690358,0.03476478406912625
15,20,41.867599254,-87.69578544299999,90.0,56.0,0.74,78.0,68.0,0.058564821377071745,0.03552739478951837
17,10,41.662386728,-87.590179728,90.0,56.0,0.74,78.0,68.0,0.06394618890004815,0.08226546020682089
18,6,41.923887364,-87.778909912,90.0,56.0,0.74,78.0,68.0,0.06688200940255568,0.0
20,15,41.913567582,-87.72630030200001,90.0,56.0,0.74,78.0,68.0,0.15274542569647204,0.045738345262628
21,10,41.710542402,-87.584558933,90.0,56.0,0.74,78.0,68.0,0.07422721791287477,0.0806016204354327
23,23,41.825398256,-87.723962137,90.0,56.0,0.74,78.0,68.0,0.0,0.09706167969507173
24,15,41.922736649,-87.63244996700001,90.0,56.0,0.74,78.0,68.0,0.030345566749604654,0.0
25,18,41.883771777,-87.716168365,90.0,56.0,0.74,78.0,68.0,0.0,0.0
26,1,41.754148414,-87.61272102299999,90.0,56.0,0.74,78.0,68.0,0.12172893393020157,0.10089343317841598
27,6,41.704687214,-87.56423556200001,90.0,56.0,0.74,78.0,68.0,0.09636663549538735,0.0
28,9,41.7212875,-87.665235702,90.0,56.0,0.74,78.0,68.0,0.09275289648574891,0.050119547841803266
30,50,41.988586396,-87.85447335100001,90.0,56.0,0.74,78.0,68.0,0.030996646572229076,0.0
31,49,41.986319851,-87.728378456,90.0,56.0,0.74,78.0,68.0,0.05142467714415095,0.006352782672687366
32,10,41.872872862,-87.764736532,90.0,56.0,0.74,78.0,68.0,0.04874109427865112,0.0
