"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-01","6.49",",,W"," 1843",",,X"," 1843",",,W","0.19",",,0,2400","0.0",",,0","0.0",",,0,",,,"85",",,0","62",",,0","  260",",,X","  260",",,X","25.1",",,X","32.0",",,X","    1",",,0",,,"    1",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-02","7.38",",,W"," 1453",",,X"," 1451",",,W","0.04",",,0,2400","0.0",",,0","0.0",",,0,",,,"81",",,0","65",",,0","  220",",,X","  220",",,X","17.9",",,X","23.9",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-03","6.71",",,W"," 1159",",,X"," 1159",",,W","0.01",",,0,2400","0.0",",,0","0.0",",,0,",,,"78",",,0","62",",,0","  260",",,X","  260",",,X","23.0",",,X","25.9",",,X","    1",",,0",,,"    1",",,0",,,,,,,,,"    1",",,0",,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-04","9.62",",,W"," 1425",",,X"," 1423",",,W","0.39",",,0,2400","0.0",",,0","0.0",",,0,",,,"71",",,0","58",",,0","  320",",,X","  320",",,X","23.0",",,X","28.0",",,X","    1",",,0",,,"    1",",,0",,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-05","7.61",",,W"," 1444",",,X"," 1537",",,W","0.42",",,0,2400","0.0",",,0","0.0",",,0,",,,"64",",,0","47",",,0","   40",",,X","   50",",,X","19.9",",,X","25.1",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-06","11.41",",,W"," 1250",",,X"," 1249",",,W","0.01",",,0,2400","0.0",",,0","0.0",",,0,",,,"71",",,0","44",",,0","  180",",,X","  160",",,X","21.0",",,X","30.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-07","23.04",",,W"," 1511",",,X"," 1327",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"91",",,0","71",",,0","  210",",,X","  190",",,X","34.9",",,X","45.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-08","13.87",",,W"," 2356",",,X"," 0033",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"81",",,0","57",",,0","  210",",,X","  200",",,X","25.1",",,X","31.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-09","4.92",",,W"," 1342",",,X"," 1826",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"79",",,0","52",",,0","  260",",,X","   80",",,X","13.0",",,X","21.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-10","5.59",",,W"," 1344",",,X"," 1410",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"81",",,0","55",",,0","  190",",,X","  230",",,X","15.0",",,X","17.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
